"fc.raw.file"	"EVD:~Contaminants~\"[1]\""	"EVD:~Peptide~Intensity~(\">23.0\")~\"[2]\""	"MSMS:~Missed~Cleavages~\"[3]\""	"MSMS:~Missed~Cleavages~Var~\"[4]\""	"EVD:~Charge~\"[5]\""	"EVD:~ID~rate~over~RT~\"[6]\""	"EVD:~RT~Peak~Width~\"[7]\""	"EVD:~MS^2~Oversampling~\"[8]\""	"EVD:~MS~Cal-Pre~(20.0)~\"[9]\""	"EVD:~MS~Cal-Post~\"[10]\""	"EVD:~Pep~Missing~Values~\"[11]\""	"EVD:~Peptide~Count~(\">15000\")~\"[12]\""	"EVD:~Protein~Count~(\">3500\")~\"[13]\""	"EVD:~UpSet~\"[14]\""	"Average~Overall~Quality~\"[15]\""
"file 01"	0.832324219775821	1	0.804488503373262	0.995503792410239	0.998707338525695	0.463085608349249	1	0.900511390051139	0.99759535	0.99998054931445	0.290924170084953	0.865266666666667	0.668571428571429	0.280849322542512	0.792700595690387
"file 02"	0.848700355001021	1	0.8032073933134	0.994222682350378	0.980726809072218	0.46342089561356	0.977067301257662	0.896761000065967	0.996785925	0.999982614062267	0.29231389953601	0.8694	0.659714285714286	0.28297601744186	0.790377084173474
"file 03"	0.861942367164743	1	0.821582584298852	0.987402126664171	0.997076726299722	0.46205274211827	0.984154385007758	0.898168239390422	0.9981255	0.999862370597404	0.382870463766167	1	0.970857142857143	0.370912829886896	0.838214819860825
"file 04"	0.858067212817634	1	0.813480918552784	0.995503792410239	0.992749113265281	0.460582356850478	0.979306209656498	0.902329075882795	0.997656	0.999910126892107	0.363683231345124	1	0.929714285714286	0.354539460221459	0.831965841686335
"file 05"	0.881412505702541	1	0.819435215946844	0.989549495016179	0.992520679747711	0.463056932297363	0.962699456719083	0.897675919948354	0.9984725	0.999880475101094	0.362719386725842	1	0.944285714285714	0.350860769898169	0.833040646527778
"file 06"	0.965330221350665	1	0.769152628460171	0.960167917497148	0.973690595983628	0.467843276862116	0.986894531586095	0.89253096459402	0.9866335	0.999965858477151	0.441373590657432	1	1	0.418226807974229	0.847272135245904
"file 07"	0.971363700620938	1	0.771929824561403	0.962945113598381	0.994117415185921	0.464103692674632	0.986095550942999	0.888591475037515	0.9958927	0.999996424728805	0.456122654831551	1	1	0.435379531809932	0.851895577428005
"file 08"	0.972282254773892	1	0.782995702885206	0.974010991922183	0.998019558837073	0.460489593691508	0.976463718792475	0.893677911716243	0.9867035	0.999968623263001	0.431623069508888	1	1	0.410398307252308	0.849045230903055
"file 09"	0.708534562558273	1	0.844256756756757	0.964727954206266	0.998707338525695	0.468325603386055	0.975638619387933	0.903500397772474	0.99576605	0.99992529935514	0.250778920942326	0.745866666666667	0.579142857142857	0.239407454603377	0.762469891521701
"file 10"	0.645521436578163	1	0.85893552574643	0.950049185216593	0.975193219783101	0.478322106466057	0.990688166129892	0.906414941128705	0.9959916	0.999190055700415	0.196713962297985	0.585066666666667	0.518857142857143	0.185985235661556	0.734780660302336
"file 11"	0.569064470128534	0.775361061096191	0.855091173148298	0.953893537814725	0.948021989990595	0.445137441005521	0.95095195344999	0.891077109528859	0.994123	0.999579266980419	0.12106336717997	0.360066666666667	0.414285714285714	0.117443169029935	0.671082851450387
"file 12"	0.877573885067258	1	0.796349115801483	0.98736440483846	0.996264288929438	0.461412289610153	0.985150642893607	0.899297815425769	0.99899165	0.999825755692598	0.339900925739134	1	0.697428571428571	0.31591906896792	0.811105601028171
